ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
139,0,0,0,黑48,Zwart48,Black48,Noir48,Schwarz48,Nero48,ブラック48,Negro48,Черный48,Negro48,Siyah48,Czarny48
140,0,0,0,黑49,Zwart49,Black49,Noir49,Schwarz49,Nero49,ブラック49,Negro49,Черный49,Negro49,Siyah49,Czarny49
141,0,0,0,黑50,Zwart50,Black50,Noir50,Schwarz50,Nero50,ブラック50,Negro50,Черный50,Negro50,Siyah50,Czarny50
142,0,0,0,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1
143,0,0,0,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2,V2
144,0,0,0,W3,W3,W3,W3,W3,W3,W3,W3,W3,W3,W3,W3
145,0,0,0,棕1,Bruin1,Brown1,Brun1,Braun1,Marrone1,ブラウン1,Castanho1,Коричневый1,Marrón1,Kahverengi1,Brązowy1
146,0,0,0,棕2,Bruin2,Brown2,Brun2,Braun2,Marrone2,ブラウン2,Castanho2,Коричневый2,Marrón2,Kahverengi2,Brązowy2
147,0,0,0,白棕黑,WitBruinZwart,WhiteBrownBlack,BlancBrunNoir,WeissBraunSchwarz,BiancoMarroneNero,ホワイトブラウンブラック,BrancoCastanhoNegro,БелыйКоричневыйЧерный,BlancoMarrónNegro,BeyazKahverengiSiyah,BiałoBrązowoCzarny
148,0,0,0,黄绿黑,GeelGroenZwart,YellowGreenBlack,JauneVertNoir,GelbGrünSchwarz,GialloVerdeNero,イエローグリーンブラック,AmareloVerdeNegro,ЖелтыйЗеленыйЧерный,AmarilloVerdeNegro,SarıYeşilSiyah,ŻółtoZielonoCzarny
149,0,0,0,灰粉黑,GrijsRoseZwart,GreyPinkBlack,GrisRoseNoir,GrauRosaSchwarz,BigioRosaNero,グレーピンクブラック,PardoRosaNegro,СерыйРозовыйЧерный,GrisRosaNegro,GriPembeSiyah,SzaroRóżowoCzarny
